,cast,country,date_added,director,duration,listed_in,rating,ratingLevel,release_year,title,type
0,Unknown,United States,2021-09-25,Kirsten Johnson,90 min,Documentaries,PG-13,"crude and sexual humor, language and some drug content",2020,Dick Johnson Is Dead,Movie
1,"Ama Qamata, Khosi Ngema, Gail Mabalane, Thabang Molaba, Dillon Windvogel, Natasha Thahane, Arno Greeff, Xolile Tshabalala, Getmore Sithole, Cindy Mahlangu, Ryle De Morny, Greteli Fincham, Sello Maake Ka-Ncube, Odwa Gwanya, Mekaila Mathys, Sandi Schultz, Duane Williams, Shamilla Miller, Patrick Mofokeng",South Africa,2021-09-24,Unknown,2 Seasons,"International TV Shows, TV Dramas, TV Mysteries",TV-MA,"strong violence, sexual content and adult language",2021,Blood & Water,TV Show
2,"Sami Bouajila, Tracy Gotoas, Samuel Jouy, Nabiha Akkari, Sofia Lesaffre, Salim Kechiouche, Noureddine Farihi, Geert Van Rampelberg, Bakary Diombera",Unknown,2021-09-24,Julien Leclercq,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2021,Ganglands,TV Show
3,Unknown,Unknown,2021-09-24,Unknown,1 Season,"Docuseries, Reality TV",TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2021,Jailbirds New Orleans,TV Show
4,"Mayur More, Jitendra Kumar, Ranjan Raj, Alam Khan, Ahsaas Channa, Revathi Pillai, Urvi Singh, Arun Kumar",India,2021-09-24,Unknown,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",TV-MA,Parental guidance suggested. May not be suitable for all children.,2021,Kota Factory,TV Show
5,"Kate Siegel, Zach Gilford, Hamish Linklater, Henry Thomas, Kristin Lehman, Samantha Sloyan, Igby Rigney, Rahul Kohli, Annarah Cymone, Annabeth Gish, Alex Essoe, Rahul Abburi, Matt Biedel, Michael Trucco, Crystal Balint, Louis Oliver",Unknown,2021-09-24,Mike Flanagan,1 Season,"TV Dramas, TV Horror, TV Mysteries",TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2021,Midnight Mass,TV Show
6,"Vanessa Hudgens, Kimiko Glenn, James Marsden, Sofia Carson, Liza Koshy, Ken Jeong, Elizabeth Perkins, Jane Krakowski, Michael McKean, Phil LaMarr",Unknown,2021-09-24,"Robert Cullen, José Luis Ucha",91 min,Children & Family Movies,PG,For mature audiences.  May not be suitable for children 17 and under.,2021,My Little Pony: A New Generation,Movie
7,"Kofi Ghanaba, Oyafunmike Ogunlano, Alexandra Duah, Nick Medley, Mutabaruka, Afemo Omilami, Reggie Carter, Mzuri","United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",2021-09-24,Haile Gerima,125 min,"Dramas, Independent Movies, International Movies",TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,1993,Sankofa,Movie
8,"Mel Giedroyc, Sue Perkins, Mary Berry, Paul Hollywood",United Kingdom,2021-09-24,Andy Devonshire,9 Seasons,"British TV Shows, Reality TV",TV-14,For mature audiences.  May not be suitable for children 17 and under.,2021,The Great British Baking Show,TV Show
9,"Melissa McCarthy, Chris O'Dowd, Kevin Kline, Timothy Olyphant, Daveed Diggs, Skyler Gisondo, Laura Harrier, Rosalind Chao, Kimberly Quinn, Loretta Devine, Ravi Kapoor",United States,2021-09-24,Theodore Melfi,104 min,"Comedies, Dramas",PG-13,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2021,The Starling,Movie
10,Unknown,Unknown,2021-09-24,Unknown,1 Season,"Crime TV Shows, Docuseries, International TV Shows",TV-MA,Parental guidance suggested. May not be suitable for all children.,2021,"Vendetta: Truth, Lies and The Mafia",TV Show
11,"Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul",Unknown,2021-09-23,Kongkiat Komesiri,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2021,Bangkok Breaking,TV Show
12,"Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová","Germany, Czech Republic",2021-09-23,Christian Schwochow,127 min,"Dramas, International Movies",TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2021,Je Suis Karl,Movie
13,"Klara Castanho, Lucca Picon, Júlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo",Unknown,2021-09-22,Bruno Garotti,91 min,"Children & Family Movies, Comedies",TV-PG,Parental guidance suggested. May not be suitable for all children.,2021,Confessions of an Invisible Girl,Movie
14,Unknown,Unknown,2021-09-22,Unknown,1 Season,"British TV Shows, Crime TV Shows, Docuseries",TV-MA,language and brief violence,2021,Crime Stories: India Detectives,TV Show
15,"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito",United States,2021-09-22,Unknown,4 Seasons,"TV Comedies, TV Dramas",TV-MA,Suitable for all ages.,2021,Dear White People,TV Show
16,Unknown,Unknown,2021-09-22,"Pedro de Echave García, Pablo Azorín Williams",67 min,"Documentaries, International Movies",TV-MA,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2020,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie
17,"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas",Mexico,2021-09-22,Unknown,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",TV-MA,For mature audiences.  May not be suitable for children 17 and under.,2020,Falsa identidad,TV Show
18,"Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain",Unknown,2021-09-22,Adam Salky,94 min,Thrillers,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,2021,Intrusion,Movie
19,"Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski",Unknown,2021-09-22,Unknown,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",TV-MA,This movie has not been rated.,2021,Jaguar,TV Show
20,Unknown,Unknown,2021-09-22,Olivier Megaton,1 Season,"Crime TV Shows, Docuseries, International TV Shows",TV-14,Suitable for all ages.,2021,Monsters Inside: The 24 Faces of Billy Milligan,TV Show
21,"Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı",Turkey,2021-09-22,Unknown,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas",TV-14,For mature audiences.  May not be suitable for children 17 and under.,2018,Resurrection: Ertugrul,TV Show
